Year,Value,Flag,Flag Description
1961,45000.0,E,Estimated value
1962,45000.0,E,Estimated value
1963,50000.0,E,Estimated value
1964,50000.0,E,Estimated value
1965,50000.0,E,Estimated value
1966,48000.0,E,Estimated value
1967,48000.0,E,Estimated value
1968,48000.0,E,Estimated value
1969,43000.0,E,Estimated value
1970,43000.0,E,Estimated value
1971,43000.0,E,Estimated value
1972,45000.0,E,Estimated value
1973,45000.0,E,Estimated value
1974,45000.0,E,Estimated value
1975,45164.0,A,Official figure
1976,69869.0,A,Official figure
1977,110462.0,A,Official figure
1978,101387.0,A,Official figure
1979,92414.0,A,Official figure
1980,102404.0,A,Official figure
1981,57277.0,A,Official figure
1982,75978.0,A,Official figure
1983,116173.0,A,Official figure
1984,74223.0,A,Official figure
1985,45885.0,A,Official figure
1986,50263.0,A,Official figure
1987,55258.0,A,Official figure
1988,130922.0,A,Official figure
1989,67593.0,A,Official figure
1990,89343.0,A,Official figure
1991,89749.0,A,Official figure
1992,154200.0,A,Official figure
1993,179637.0,A,Official figure
1994,108812.0,T,Unofficial figure
1995,110000.0,E,Estimated value
1996,131516.35,I,Imputed value
1997,148917.05,I,Imputed value
1998,161064.72,I,Imputed value
1999,173087.53,I,Imputed value
2000,166692.0,A,Official figure
2001,244943.0,A,Official figure
2002,162362.0,A,Official figure
2003,254737.0,A,Official figure
2004,227099.0,A,Official figure
2005,261170.0,A,Official figure
2006,268776.0,A,Official figure
2007,396517.0,A,Official figure
2008,397286.0,A,Official figure
2009,392379.0,A,Official figure
2010,419600.0,A,Official figure
2011,537277.0,A,Official figure
2012,537330.0,A,Official figure
2013,546173.0,A,Official figure
2014,584000.0,A,Official figure
2015,546000.0,A,Official figure
2016,632000.0,A,Official figure
2017,1529000.0,A,Official figure
2018,1503000.0,A,Official figure
2019,1448000.0,A,Official figure
2020,1753000.0,A,Official figure
2021,1823000.0,A,Official figure
