Year,Value,Flag,Flag Description
1961,163000.0,T,Unofficial figure
1962,161000.0,T,Unofficial figure
1963,174000.0,T,Unofficial figure
1964,206000.0,T,Unofficial figure
1965,190000.0,T,Unofficial figure
1966,175000.0,T,Unofficial figure
1967,175000.0,T,Unofficial figure
1968,172000.0,T,Unofficial figure
1969,204000.0,A,Official figure
1970,251700.0,A,Official figure
1971,258900.0,A,Official figure
1972,204000.0,A,Official figure
1973,240400.0,A,Official figure
1974,249400.0,A,Official figure
1975,242300.0,A,Official figure
1976,225400.0,A,Official figure
1977,357900.0,A,Official figure
1978,335700.0,A,Official figure
1979,325600.0,A,Official figure
1980,321200.0,A,Official figure
1981,336500.0,A,Official figure
1982,327300.0,A,Official figure
1983,376000.0,A,Official figure
1984,379100.0,A,Official figure
1985,484200.0,A,Official figure
1986,502400.0,A,Official figure
1987,607000.0,A,Official figure
1988,513000.0,A,Official figure
1989,609100.0,A,Official figure
1990,562900.0,A,Official figure
1991,531700.0,A,Official figure
1992,591900.0,A,Official figure
1993,911100.0,A,Official figure
1994,815000.0,A,Official figure
1995,659000.0,A,Official figure
1996,785000.0,A,Official figure
1997,795000.0,A,Official figure
1998,890300.0,A,Official figure
1999,907800.0,A,Official figure
2000,945600.0,A,Official figure
2001,882200.0,A,Official figure
2002,738800.0,A,Official figure
2003,954700.0,A,Official figure
2004,966100.0,A,Official figure
2005,1075100.0,A,Official figure
2006,1020000.0,A,Official figure
2007,1104000.0,A,Official figure
2008,1063000.0,A,Official figure
2009,1029700.0,A,Official figure
2010,1474900.0,A,Official figure
2011,1699790.0,A,Official figure
2012,1496990.0,A,Official figure
2013,1500488.0,A,Official figure
2014,1504000.0,A,Official figure
2015,1292000.0,A,Official figure
2016,1528000.0,A,Official figure
2017,1592000.0,A,Official figure
2018,1364000.0,A,Official figure
2019,1434000.0,A,Official figure
2020,1507588.86,I,Imputed value
2021,1559913.69,I,Imputed value
