Year,Value,Flag,Flag Description
1961,1685627.0,A,Official figure
1962,1804505.0,A,Official figure
1963,1825800.0,A,Official figure
1964,2059400.0,A,Official figure
1965,1701700.0,A,Official figure
1966,1688500.0,A,Official figure
1967,2007100.0,A,Official figure
1968,1864700.0,A,Official figure
1969,2014000.0,A,Official figure
1970,2409000.0,A,Official figure
1971,2032800.0,A,Official figure
1972,1747400.0,A,Official figure
1973,2670300.0,A,Official figure
1974,2175100.0,A,Official figure
1975,2767400.0,A,Official figure
1976,2463300.0,A,Official figure
1977,2746500.0,A,Official figure
1978,2550600.0,A,Official figure
1979,1986400.0,A,Official figure
1980,2751600.0,A,Official figure
1981,2943900.0,A,Official figure
1982,2862100.0,A,Official figure
1983,3501700.0,A,Official figure
1984,3115200.0,A,Official figure
1985,3128000.0,A,Official figure
1986,3076600.0,A,Official figure
1987,3244600.0,A,Official figure
1988,4036300.0,A,Official figure
1989,3902000.0,A,Official figure
1990,4084900.0,A,Official figure
1991,3529000.0,A,Official figure
1992,3870400.0,A,Official figure
1993,3274700.0,A,Official figure
1994,3057400.0,A,Official figure
1995,3440000.0,A,Official figure
1996,3507800.0,A,Official figure
1997,2955800.0,A,Official figure
1998,2557600.0,A,Official figure
1999,2866000.0,A,Official figure
2000,2847000.0,A,Official figure
2001,3296200.0,A,Official figure
2002,2618800.0,A,Official figure
2003,4230800.0,A,Official figure
2004,2883900.0,A,Official figure
2005,2630800.0,A,Official figure
2006,3270000.0,A,Official figure
2007,3930000.0,A,Official figure
2008,3010000.0,A,Official figure
2009,2430000.0,A,Official figure
2010,4890000.0,A,Official figure
2011,4330000.0,A,Official figure
2012,3760000.0,A,Official figure
2013,4020000.0,A,Official figure
2014,4230000.0,A,Official figure
2015,4260000.0,A,Official figure
2016,5890000.0,A,Official figure
2017,6340000.0,A,Official figure
2018,6220000.0,A,Official figure
2019,5310000.0,A,Official figure
2020,5460000.0,A,Official figure
2021,6120000.0,A,Official figure
