Year,Value,Flag,Flag Description
1961,6250000.0,A,Official figure
1962,5785000.0,A,Official figure
1963,5362000.0,A,Official figure
1964,4502000.0,A,Official figure
1965,5777000.0,A,Official figure
1966,4224000.0,A,Official figure
1967,3622000.0,A,Official figure
1968,5971500.0,A,Official figure
1969,4309500.0,A,Official figure
1970,5545600.0,A,Official figure
1971,5199200.0,A,Official figure
1972,5080700.0,A,Official figure
1973,4536800.0,A,Official figure
1974,4099000.0,A,Official figure
1975,4014800.0,A,Official figure
1976,5879500.0,A,Official figure
1977,5424300.0,A,Official figure
1978,5409500.0,A,Official figure
1979,5738800.0,A,Official figure
1980,3356300.0,A,Official figure
1981,4328000.0,A,Official figure
1982,4642100.0,A,Official figure
1983,5289900.0,A,Official figure
1984,4750000.0,A,Official figure
1985,4561400.0,A,Official figure
1986,5787900.0,A,Official figure
1987,4531800.0,A,Official figure
1988,3625500.0,A,Official figure
1989,5129100.0,A,Official figure
1990,4217300.0,A,Official figure
1991,5356400.0,A,Official figure
1992,4121000.0,A,Official figure
1993,4416700.0,A,Official figure
1994,4980800.0,A,Official figure
1995,6435500.0,A,Official figure
1996,4979000.0,A,Official figure
1997,5565900.0,A,Official figure
1998,6132200.0,A,Official figure
1999,6800700.0,A,Official figure
2000,5118100.0,A,Official figure
2001,3855400.0,A,Official figure
2002,5473000.0,A,Official figure
2003,4236800.0,A,Official figure
2004,5717500.0,A,Official figure
2005,5469400.0,A,Official figure
2006,5575400.0,A,Official figure
2007,6333700.0,A,Official figure
2008,5748600.0,A,Official figure
2009,7060000.0,A,Official figure
2010,7480000.0,A,Official figure
2011,8220000.0,A,Official figure
2012,7700000.0,A,Official figure
2013,8832500.0,A,Official figure
2014,9530000.0,A,Official figure
2015,7332000.0,A,Official figure
2016,7058000.0,A,Official figure
2017,9377560.0,A,Official figure
2018,11379190.0,A,Official figure
2019,9937990.0,A,Official figure
2020,11078500.0,A,Official figure
2021,11910000.0,A,Official figure
