Year,Value,Flag,Flag Description
1961,358666.0,A,Official figure
1962,340377.0,A,Official figure
1963,349521.0,A,Official figure
1964,289000.0,A,Official figure
1965,400000.0,A,Official figure
1966,368900.0,A,Official figure
1967,287900.0,A,Official figure
1968,383600.0,A,Official figure
1969,400000.0,A,Official figure
1970,382900.0,A,Official figure
1971,371000.0,A,Official figure
1972,415700.0,A,Official figure
1973,372500.0,A,Official figure
1974,406600.0,A,Official figure
1975,457100.0,A,Official figure
1976,460700.0,A,Official figure
1977,393500.0,A,Official figure
1978,384000.0,A,Official figure
1979,447200.0,A,Official figure
1980,320300.0,A,Official figure
1981,465200.0,A,Official figure
1982,496500.0,A,Official figure
1983,488700.0,A,Official figure
1984,533700.0,A,Official figure
1985,547100.0,A,Official figure
1986,662500.0,A,Official figure
1987,659300.0,A,Official figure
1988,660300.0,A,Official figure
1989,733600.0,A,Official figure
1990,706200.0,A,Official figure
1991,851400.0,A,Official figure
1992,801700.0,A,Official figure
1993,790800.0,A,Official figure
1994,748000.0,A,Official figure
1995,783800.0,A,Official figure
1996,713700.0,A,Official figure
1997,962000.0,A,Official figure
1998,803900.0,A,Official figure
1999,937800.0,A,Official figure
2000,1078900.0,A,Official figure
2001,915200.0,A,Official figure
2002,974400.0,A,Official figure
2003,873200.0,A,Official figure
2004,1037800.0,A,Official figure
2005,994200.0,A,Official figure
2006,946200.0,A,Official figure
2007,910000.0,A,Official figure
2008,810000.0,A,Official figure
2009,953300.0,A,Official figure
2010,1031600.0,A,Official figure
2011,943800.0,A,Official figure
2012,1058700.0,A,Official figure
2013,1134000.0,A,Official figure
2014,1017000.0,A,Official figure
2015,1035000.0,A,Official figure
2016,976000.0,A,Official figure
2017,1223850.0,A,Official figure
2018,1621810.0,A,Official figure
2019,1227820.0,A,Official figure
2020,1103030.0,A,Official figure
2021,1490000.0,A,Official figure
