Year,Value,Flag,Flag Description
1961,1049580.0,A,Official figure
1962,1103430.0,A,Official figure
1963,1026210.0,A,Official figure
1964,670500.0,A,Official figure
1965,925500.0,A,Official figure
1966,806800.0,A,Official figure
1967,660400.0,A,Official figure
1968,949500.0,A,Official figure
1969,958000.0,A,Official figure
1970,772100.0,A,Official figure
1971,775000.0,A,Official figure
1972,658000.0,A,Official figure
1973,461400.0,A,Official figure
1974,377900.0,A,Official figure
1975,472300.0,A,Official figure
1976,542000.0,A,Official figure
1977,432000.0,A,Official figure
1978,360100.0,A,Official figure
1979,359800.0,A,Official figure
1980,229300.0,A,Official figure
1981,295000.0,A,Official figure
1982,299000.0,A,Official figure
1983,339400.0,A,Official figure
1984,363500.0,A,Official figure
1985,330800.0,A,Official figure
1986,427200.0,A,Official figure
1987,388000.0,A,Official figure
1988,377300.0,A,Official figure
1989,417300.0,A,Official figure
1990,461000.0,A,Official figure
1991,604900.0,A,Official figure
1992,552200.0,A,Official figure
1993,549500.0,A,Official figure
1994,640300.0,A,Official figure
1995,666500.0,A,Official figure
1996,639200.0,A,Official figure
1997,721300.0,A,Official figure
1998,661100.0,A,Official figure
1999,705000.0,A,Official figure
2000,814800.0,A,Official figure
2001,563200.0,A,Official figure
2002,607600.0,A,Official figure
2003,591500.0,A,Official figure
2004,725200.0,A,Official figure
2005,785600.0,A,Official figure
2006,709900.0,A,Official figure
2007,598900.0,A,Official figure
2008,457700.0,A,Official figure
2009,658200.0,A,Official figure
2010,674700.0,A,Official figure
2011,593200.0,A,Official figure
2012,706000.0,A,Official figure
2013,843000.0,A,Official figure
2014,925000.0,A,Official figure
2015,889000.0,A,Official figure
2016,742000.0,A,Official figure
2017,1011190.0,A,Official figure
2018,993250.0,A,Official figure
2019,811810.0,A,Official figure
2020,860160.0,A,Official figure
2021,876041.93,I,Imputed value
