Year,Value,Flag,Flag Description
1961,2066000.0,A,Official figure
1962,1367000.0,A,Official figure
1963,1582000.0,A,Official figure
1964,1380000.0,A,Official figure
1965,1890000.0,A,Official figure
1966,1733000.0,A,Official figure
1967,1129700.0,A,Official figure
1968,1741100.0,A,Official figure
1969,1815800.0,A,Official figure
1970,1842200.0,A,Official figure
1971,1883300.0,A,Official figure
1972,1683000.0,A,Official figure
1973,1927600.0,A,Official figure
1974,1408000.0,A,Official figure
1975,1834200.0,A,Official figure
1976,2099300.0,A,Official figure
1977,1725300.0,A,Official figure
1978,1929700.0,A,Official figure
1979,1887400.0,A,Official figure
1980,1757000.0,A,Official figure
1981,1957300.0,A,Official figure
1982,2236500.0,A,Official figure
1983,1988900.0,A,Official figure
1984,2576000.0,A,Official figure
1985,2585200.0,A,Official figure
1986,2441000.0,A,Official figure
1987,2271500.0,A,Official figure
1988,2282300.0,A,Official figure
1989,2717700.0,A,Official figure
1990,2746600.0,A,Official figure
1991,2416800.0,A,Official figure
1992,2133000.0,A,Official figure
1993,2331000.0,A,Official figure
1994,2692000.0,A,Official figure
1995,2144000.0,A,Official figure
1996,2309000.0,A,Official figure
1997,2655800.0,A,Official figure
1998,1849700.0,A,Official figure
1999,2708100.0,A,Official figure
2000,2694000.0,A,Official figure
2001,2246500.0,A,Official figure
2002,2259800.0,A,Official figure
2003,2185800.0,A,Official figure
2004,2346400.0,A,Official figure
2005,2346900.0,A,Official figure
2006,2738000.0,A,Official figure
2007,2314100.0,A,Official figure
2008,3075900.0,A,Official figure
2009,2270000.0,A,Official figure
2010,2460000.0,A,Official figure
2011,2860000.0,A,Official figure
2012,2650000.0,A,Official figure
2013,3022700.0,A,Official figure
2014,3170000.0,A,Official figure
2015,2810000.0,A,Official figure
2016,2560000.0,A,Official figure
2017,4873240.0,A,Official figure
2018,4289820.0,A,Official figure
2019,3315440.0,A,Official figure
2020,3891690.0,A,Official figure
2021,4320000.0,A,Official figure
