Year,Value,Flag,Flag Description
1961,1450000.0,A,Official figure
1962,1335000.0,A,Official figure
1963,1382000.0,A,Official figure
1964,1401000.0,A,Official figure
1965,1379500.0,A,Official figure
1966,981000.0,A,Official figure
1967,958600.0,A,Official figure
1968,1046900.0,A,Official figure
1969,1069800.0,A,Official figure
1970,1133900.0,A,Official figure
1971,1181000.0,A,Official figure
1972,1223700.0,A,Official figure
1973,855700.0,A,Official figure
1974,1039400.0,A,Official figure
1975,1045900.0,A,Official figure
1976,1270900.0,A,Official figure
1977,896300.0,A,Official figure
1978,1100100.0,A,Official figure
1979,1112100.0,A,Official figure
1980,752600.0,A,Official figure
1981,838600.0,A,Official figure
1982,793300.0,A,Official figure
1983,887300.0,A,Official figure
1984,1167300.0,A,Official figure
1985,824000.0,A,Official figure
1986,915900.0,A,Official figure
1987,861800.0,A,Official figure
1988,772200.0,A,Official figure
1989,790600.0,A,Official figure
1990,640900.0,A,Official figure
1991,1506500.0,A,Official figure
1992,535100.0,A,Official figure
1993,1003500.0,A,Official figure
1994,1186500.0,A,Official figure
1995,1433000.0,A,Official figure
1996,1068000.0,A,Official figure
1997,1257000.0,A,Official figure
1998,1000000.0,A,Official figure
1999,1120000.0,A,Official figure
2000,1160000.0,A,Official figure
2001,1300000.0,T,Unofficial figure
2002,1000000.0,T,Unofficial figure
2003,618900.0,A,Official figure
2004,834500.0,A,Official figure
2005,649200.0,A,Official figure
2006,759300.0,A,Official figure
2007,700000.0,T,Unofficial figure
2008,670000.0,T,Unofficial figure
2009,700000.0,T,Unofficial figure
2010,700000.0,T,Unofficial figure
2011,700000.0,T,Unofficial figure
2012,960000.0,T,Unofficial figure
2013,1092000.0,T,Unofficial figure
2014,1155000.0,T,Unofficial figure
2015,988200.0,T,Unofficial figure
2016,933918.02,I,Imputed value
2017,914010.78,I,Imputed value
2018,1000000.0,E,Estimated value
2019,912311.06,I,Imputed value
2020,926911.13,I,Imputed value
2021,958795.03,I,Imputed value
