Year,Value,Flag,Flag Description
1961,110001008.0,A,Official figure
1962,103967008.0,A,Official figure
1963,91913008.0,A,Official figure
1964,104225008.0,A,Official figure
1965,122077008.0,A,Official figure
1966,123990000.0,A,Official figure
1967,92827008.0,A,Official figure
1968,95500000.0,A,Official figure
1969,124676096.0,A,Official figure
1970,135024000.0,A,Official figure
1971,126368000.0,A,Official figure
1972,113569504.0,A,Official figure
1973,124866704.0,A,Official figure
1974,140805008.0,A,Official figure
1975,144288896.0,A,Official figure
1976,140603504.0,A,Official figure
1977,153007008.0,A,Official figure
1978,176965008.0,A,Official figure
1979,151655104.0,A,Official figure
1980,128833408.0,A,Official figure
1981,154248000.0,A,Official figure
1982,186357600.0,A,Official figure
1983,189505600.0,A,Official figure
1984,174076000.0,A,Official figure
1985,170319200.0,A,Official figure
1986,171680992.0,A,Official figure
1987,186089504.0,A,Official figure
1988,196736896.0,A,Official figure
1989,203036800.0,A,Official figure
1990,225569200.0,A,Official figure
1991,241045504.0,A,Official figure
1992,254000000.0,A,Official figure
1993,228030000.0,A,Official figure
1994,229670000.0,A,Official figure
1995,275540000.0,A,Official figure
1996,281100000.0,A,Official figure
1997,277560000.0,A,Official figure
1998,279541504.0,A,Official figure
1999,310332800.0,A,Official figure
2000,299323904.0,A,Official figure
2001,295956000.0,A,Official figure
2002,297207808.0,A,Official figure
2003,287383200.0,A,Official figure
2004,233861792.0,A,Official figure
2005,237088400.0,A,Official figure
2006,281171808.0,A,Official figure
2007,355519712.0,A,Official figure
2008,348187904.0,A,Official figure
2009,285029312.0,A,Official figure
2010,292301600.0,A,Official figure
2011,342382016.0,A,Official figure
2012,361036992.0,A,Official figure
2013,341200000.0,A,Official figure
2014,352142000.0,A,Official figure
2015,362333000.0,A,Official figure
2016,348448000.0,A,Official figure
2017,306069000.0,A,Official figure
2018,379904850.0,A,Official figure
2019,405416180.0,A,Official figure
2020,370500300.0,A,Official figure
2021,405399000.0,A,Official figure
