Year,Value,Flag,Flag Description
1961,2763000.0,A,Official figure
1962,3353000.0,A,Official figure
1963,3556000.0,A,Official figure
1964,3334000.0,A,Official figure
1965,3116000.0,A,Official figure
1966,3116000.0,A,Official figure
1967,3591000.0,A,Official figure
1968,3319000.0,A,Official figure
1969,3288000.0,A,Official figure
1970,2981000.0,A,Official figure
1971,3931000.0,A,Official figure
1972,3638000.0,A,Official figure
1973,3747000.0,A,Official figure
1974,4031000.0,A,Official figure
1975,3625000.0,A,Official figure
1976,3353000.0,A,Official figure
1977,3850000.0,A,Official figure
1978,4228000.0,A,Official figure
1979,4091000.0,A,Official figure
1980,4038000.0,A,Official figure
1981,4186000.0,A,Official figure
1982,4000000.0,A,Official figure
1983,3393000.0,A,Official figure
1984,4519000.0,A,Official figure
1985,4636000.0,A,Official figure
1986,3668000.0,A,Official figure
1987,3390000.0,A,Official figure
1988,4645000.0,A,Official figure
1989,6067000.0,A,Official figure
1990,5228000.0,A,Official figure
1991,5161000.0,A,Official figure
1992,6058000.0,A,Official figure
1993,5706000.0,A,Official figure
1994,6316000.0,A,Official figure
1995,6832000.0,A,Official figure
1996,7560000.0,A,Official figure
1997,5765000.0,A,Official figure
1998,6528000.0,A,Official figure
1999,6125000.0,A,Official figure
2000,5128000.0,A,Official figure
2001,5311000.0,A,Official figure
2002,4582000.0,A,Official figure
2003,7294000.0,A,Official figure
2004,8728000.0,A,Official figure
2005,9828000.0,A,Official figure
2006,12023000.0,A,Official figure
2007,13751000.0,A,Official figure
2008,11834000.0,A,Official figure
2009,12761000.0,A,Official figure
2010,17760000.0,A,Official figure
2011,19178000.0,A,Official figure
2012,18179000.0,A,Official figure
2013,18913000.0,A,Official figure
2014,18488000.0,A,Official figure
2015,15943000.0,A,Official figure
2016,17308000.0,A,Official figure
2017,17425000.0,A,Official figure
2018,14657000.0,A,Official figure
2019,18558000.0,T,Unofficial figure
2020,17731050.0,T,Unofficial figure
2021,17204000.0,T,Unofficial figure
