Year,Value,Flag,Flag Description
1961,1144400.0,A,Official figure
1962,979600.0,A,Official figure
1963,1094220.0,A,Official figure
1964,1091484.0,A,Official figure
1965,805608.0,A,Official figure
1966,964422.0,A,Official figure
1967,1137654.0,A,Official figure
1968,527600.0,A,Official figure
1969,1017864.0,A,Official figure
1970,888840.0,A,Official figure
1971,1023174.0,A,Official figure
1972,896094.0,A,Official figure
1973,1119654.0,A,Official figure
1974,804690.0,A,Official figure
1975,799128.0,A,Official figure
1976,963612.0,A,Official figure
1977,965034.0,A,Official figure
1978,1164654.0,A,Official figure
1979,1092870.0,A,Official figure
1980,1171400.0,A,Official figure
1981,1221800.0,A,Official figure
1982,1070200.0,A,Official figure
1983,1138500.0,A,Official figure
1984,1175600.0,A,Official figure
1985,1959390.0,A,Official figure
1986,1323500.0,A,Official figure
1987,1042700.0,A,Official figure
1988,1207800.0,A,Official figure
1989,1272900.0,A,Official figure
1990,1425000.0,A,Official figure
1991,1608500.0,A,Official figure
1992,1349100.0,A,Official figure
1993,1324800.0,A,Official figure
1994,1439500.0,A,Official figure
1995,1381500.0,A,Official figure
1996,1793000.0,A,Official figure
1997,1793000.0,A,Official figure
1998,1590570.0,A,Official figure
1999,1695834.0,A,Official figure
2000,1677060.0,A,Official figure
2001,1905102.0,A,Official figure
2002,1853838.0,A,Official figure
2003,1845000.0,A,Official figure
2004,1692000.0,A,Official figure
2005,1795000.0,A,Official figure
2006,1857000.0,A,Official figure
2007,1840000.0,A,Official figure
2008,1734000.0,A,Official figure
2009,2021500.0,A,Official figure
2010,1799100.0,A,Official figure
2011,1960380.0,A,Official figure
2012,1912000.0,A,Official figure
2013,1944000.0,A,Official figure
2014,1968000.0,A,Official figure
2015,1789200.0,A,Official figure
2016,1853749.2,I,Imputed value
2017,1877760.0,A,Official figure
2018,1726380.0,A,Official figure
2019,1709460.0,A,Official figure
2020,1700820.0,A,Official figure
2021,1720000.0,A,Official figure
