Year,Value,Flag,Flag Description
1961,416200.0,A,Official figure
1962,392700.0,A,Official figure
1963,417460.0,A,Official figure
1964,367640.0,A,Official figure
1965,290780.0,A,Official figure
1966,277044.0,A,Official figure
1967,300360.0,A,Official figure
1968,230562.0,A,Official figure
1969,270454.0,A,Official figure
1970,290800.0,A,Official figure
1971,261872.0,A,Official figure
1972,249288.0,A,Official figure
1973,315252.0,A,Official figure
1974,303050.0,A,Official figure
1975,327802.0,A,Official figure
1976,369608.0,A,Official figure
1977,376668.0,A,Official figure
1978,389694.0,A,Official figure
1979,386610.0,A,Official figure
1980,350906.0,A,Official figure
1981,341240.0,A,Official figure
1982,262200.0,A,Official figure
1983,298000.0,A,Official figure
1984,281700.0,A,Official figure
1985,373800.0,A,Official figure
1986,280000.0,A,Official figure
1987,221500.0,A,Official figure
1988,249200.0,A,Official figure
1989,258500.0,A,Official figure
1990,277300.0,A,Official figure
1991,286900.0,A,Official figure
1992,231400.0,A,Official figure
1993,230100.0,A,Official figure
1994,235600.0,A,Official figure
1995,235300.0,A,Official figure
1996,282600.0,A,Official figure
1997,190800.0,A,Official figure
1998,175392.0,A,Official figure
1999,200250.0,A,Official figure
2000,203364.0,A,Official figure
2001,223074.0,A,Official figure
2002,196992.0,A,Official figure
2003,180306.0,A,Official figure
2004,165834.0,A,Official figure
2005,157140.0,A,Official figure
2006,156618.0,A,Official figure
2007,172080.0,A,Official figure
2008,178200.0,A,Official figure
2009,131580.0,A,Official figure
2010,106400.0,A,Official figure
2011,115700.0,A,Official figure
2012,113000.0,A,Official figure
2013,108000.0,A,Official figure
2014,103933.65,I,Imputed value
2015,98542.99,I,Imputed value
2016,103492.21,E,Estimated value
2017,101989.62,E,Estimated value
2018,101341.61,E,Estimated value
2019,102274.48,E,Estimated value
2020,101868.57,E,Estimated value
2021,101828.22,E,Estimated value
