Year,Value,Flag,Flag Description
1961,166500.0,T,Unofficial figure
1962,186400.0,T,Unofficial figure
1963,175600.0,T,Unofficial figure
1964,187400.0,T,Unofficial figure
1965,187000.0,T,Unofficial figure
1966,193000.0,T,Unofficial figure
1967,197700.0,T,Unofficial figure
1968,206000.0,T,Unofficial figure
1969,217700.0,T,Unofficial figure
1970,225700.0,T,Unofficial figure
1971,227500.0,T,Unofficial figure
1972,222800.0,T,Unofficial figure
1973,217400.0,T,Unofficial figure
1974,224000.0,T,Unofficial figure
1975,216600.0,T,Unofficial figure
1976,214200.0,T,Unofficial figure
1977,201100.0,T,Unofficial figure
1978,212900.0,T,Unofficial figure
1979,209400.0,T,Unofficial figure
1980,212500.0,T,Unofficial figure
1981,206900.0,T,Unofficial figure
1982,238400.0,T,Unofficial figure
1983,215800.0,T,Unofficial figure
1984,256800.0,T,Unofficial figure
1985,251500.0,T,Unofficial figure
1986,236900.0,T,Unofficial figure
1987,270100.0,T,Unofficial figure
1988,317300.0,T,Unofficial figure
1989,347700.0,T,Unofficial figure
1990,361500.0,T,Unofficial figure
1991,374500.0,T,Unofficial figure
1992,417600.0,T,Unofficial figure
1993,444700.0,T,Unofficial figure
1994,494100.0,T,Unofficial figure
1995,481100.0,T,Unofficial figure
1996,485000.0,T,Unofficial figure
1997,472500.0,T,Unofficial figure
1998,465700.0,T,Unofficial figure
1999,454000.0,T,Unofficial figure
2000,468000.0,T,Unofficial figure
2001,450000.0,T,Unofficial figure
2002,447000.0,T,Unofficial figure
2003,531500.0,T,Unofficial figure
2004,419000.0,T,Unofficial figure
2005,441500.0,T,Unofficial figure
2006,509500.0,T,Unofficial figure
2007,545000.0,T,Unofficial figure
2008,507000.0,T,Unofficial figure
2009,541000.0,T,Unofficial figure
2010,542000.0,T,Unofficial figure
2011,514000.0,T,Unofficial figure
2012,528000.0,T,Unofficial figure
2013,596500.0,T,Unofficial figure
2014,553945.0,T,Unofficial figure
2015,560480.0,T,Unofficial figure
2016,562432.93,I,Imputed value
2017,567349.83,I,Imputed value
2018,575768.34,I,Imputed value
2019,580643.78,I,Imputed value
2020,586124.14,I,Imputed value
2021,591440.97,I,Imputed value
