Year,Value,Flag,Flag Description
1992,0.0,M,"Missing value (data cannot exist, not applicable)"
1993,0.0,M,"Missing value (data cannot exist, not applicable)"
1994,0.0,M,"Missing value (data cannot exist, not applicable)"
1995,0.0,M,"Missing value (data cannot exist, not applicable)"
1996,0.0,M,"Missing value (data cannot exist, not applicable)"
1997,0.0,M,"Missing value (data cannot exist, not applicable)"
1998,0.0,M,"Missing value (data cannot exist, not applicable)"
1999,0.0,M,"Missing value (data cannot exist, not applicable)"
2000,0.0,M,"Missing value (data cannot exist, not applicable)"
2001,0.0,M,"Missing value (data cannot exist, not applicable)"
2002,0.0,M,"Missing value (data cannot exist, not applicable)"
2003,0.0,M,"Missing value (data cannot exist, not applicable)"
2004,0.0,M,"Missing value (data cannot exist, not applicable)"
2005,0.0,M,"Missing value (data cannot exist, not applicable)"
2006,0.0,M,"Missing value (data cannot exist, not applicable)"
2007,0.0,M,"Missing value (data cannot exist, not applicable)"
2008,0.0,M,"Missing value (data cannot exist, not applicable)"
2009,0.0,M,"Missing value (data cannot exist, not applicable)"
2010,0.0,M,"Missing value (data cannot exist, not applicable)"
2011,0.0,M,"Missing value (data cannot exist, not applicable)"
2012,0.0,M,"Missing value (data cannot exist, not applicable)"
2013,0.0,M,"Missing value (data cannot exist, not applicable)"
2014,0.0,M,"Missing value (data cannot exist, not applicable)"
2015,0.0,M,"Missing value (data cannot exist, not applicable)"
2016,0.0,M,"Missing value (data cannot exist, not applicable)"
2017,0.0,M,"Missing value (data cannot exist, not applicable)"
2018,0.0,M,"Missing value (data cannot exist, not applicable)"
2019,0.0,M,"Missing value (data cannot exist, not applicable)"
2020,0.0,M,"Missing value (data cannot exist, not applicable)"
2021,0.0,M,"Missing value (data cannot exist, not applicable)"
