Year,Value,Flag,Flag Description
1961,26992.0,A,Official figure
1962,31357.0,A,Official figure
1963,37200.0,A,Official figure
1964,44248.0,A,Official figure
1965,49387.0,A,Official figure
1966,53195.0,A,Official figure
1967,62502.0,A,Official figure
1968,68844.0,A,Official figure
1969,79951.0,A,Official figure
1970,89905.0,A,Official figure
1971,92200.0,A,Official figure
1972,101200.0,A,Official figure
1973,112400.0,A,Official figure
1974,125200.0,A,Official figure
1975,130100.0,A,Official figure
1976,137800.0,A,Official figure
1977,149600.0,A,Official figure
1978,147000.0,A,Official figure
1979,135400.0,A,Official figure
1980,148400.0,A,Official figure
1981,153100.0,A,Official figure
1982,152900.0,A,Official figure
1983,165900.0,A,Official figure
1984,175300.0,A,Official figure
1985,186500.0,A,Official figure
1986,200500.0,A,Official figure
1987,219500.0,A,Official figure
1988,235200.0,A,Official figure
1989,259200.0,A,Official figure
1990,297300.0,A,Official figure
1991,329600.0,A,Official figure
1992,366700.0,A,Official figure
1993,367000.0,A,Official figure
1994,394000.0,A,Official figure
1995,472000.0,A,Official figure
1996,507000.0,A,Official figure
1997,550000.0,A,Official figure
1998,605000.0,A,Official figure
1999,622000.0,A,Official figure
2000,630000.0,A,Official figure
2001,631000.0,A,Official figure
2002,649435.0,A,Official figure
2003,711650.0,A,Official figure
2004,749665.0,A,Official figure
2005,802625.0,A,Official figure
2006,852895.0,A,Official figure
2007,825345.0,A,Official figure
2008,864500.0,A,Official figure
2009,831400.0,A,Official figure
2010,862000.0,A,Official figure
2011,800000.0,A,Official figure
2012,900000.0,A,Official figure
2013,900000.0,A,Official figure
2014,940000.0,E,Estimated value
2015,944504.26,I,Imputed value
2016,950600.4,I,Imputed value
2017,713000.0,T,Unofficial figure
2018,660000.0,T,Unofficial figure
2019,702000.0,T,Unofficial figure
2020,687600.0,T,Unofficial figure
2021,749000.0,T,Unofficial figure
