Year,Value,Flag,Flag Description
1961,307000.0,A,Official figure
1962,339000.0,A,Official figure
1963,341000.0,A,Official figure
1964,360000.0,A,Official figure
1965,346000.0,A,Official figure
1966,293000.0,A,Official figure
1967,353400.0,A,Official figure
1968,368700.0,A,Official figure
1969,361000.0,A,Official figure
1970,337100.0,A,Official figure
1971,361900.0,A,Official figure
1972,418900.0,A,Official figure
1973,372200.0,A,Official figure
1974,462100.0,A,Official figure
1975,363100.0,A,Official figure
1976,349800.0,A,Official figure
1977,418800.0,A,Official figure
1978,493600.0,A,Official figure
1979,453800.0,A,Official figure
1980,438500.0,A,Official figure
1981,480800.0,A,Official figure
1982,520100.0,A,Official figure
1983,581600.0,A,Official figure
1984,492500.0,A,Official figure
1985,485900.0,A,Official figure
1986,441200.0,A,Official figure
1987,461800.0,A,Official figure
1988,367400.0,A,Official figure
1989,492800.0,A,Official figure
1990,551600.0,A,Official figure
1991,555900.0,A,Official figure
1992,584400.0,A,Official figure
1993,596500.0,A,Official figure
1994,562900.0,A,Official figure
1995,566700.0,A,Official figure
1996,535200.0,A,Official figure
1997,618000.0,A,Official figure
1998,646000.0,A,Official figure
1999,736200.0,A,Official figure
2000,520000.0,A,Official figure
2001,340000.0,A,Official figure
2002,550000.0,A,Official figure
2003,490000.0,A,Official figure
2004,549900.0,A,Official figure
2005,549100.0,A,Official figure
2006,552200.0,A,Official figure
2007,520000.0,A,Official figure
2008,490000.0,A,Official figure
2009,622830.0,A,Official figure
2010,690000.0,A,Official figure
2011,830000.0,A,Official figure
2012,820000.0,A,Official figure
2013,765153.82,I,Imputed value
2014,719419.96,I,Imputed value
2015,738029.07,I,Imputed value
2016,747976.54,I,Imputed value
2017,744410.42,I,Imputed value
2018,747277.36,I,Imputed value
2019,758891.72,I,Imputed value
2020,766372.65,I,Imputed value
2021,757513.91,E,Estimated value
